# PAGES2kv2_Arc-BrayaSo_DAndrea_2011LMR42 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Lake Cores
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Arc-BrayaSo_DAndrea_2011LMR42 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: DAndrea, W. J.,Huang, Y.,Fritz, S. C.,Anderson, N. J.
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: DAndrea, W. J.,Huang, Y.,Fritz, S. C.,Anderson, N. J.
#	Published_Date_or_Year: 
#	Published_Title: Abrupt Holocene climate change as an important factor for human migration in West Greenland
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 10.1073/pnas.1101708108
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Braya Sø
#	Location: 
#	Country: 
#	Northernmost_Latitude: 67
#	Southernmost_Latitude: 67
#	Easternmost_Longitude: -50.7
#	Westernmost_Longitude: -50.7
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Arc-BrayaSo_DAndrea_2011LMR42
#	Earliest_Year: -997.9
#	Most_Recent_Year: 1999.125
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"", "interpDirection":"positive", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##Uk37	, , , , , Lake Cores, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	Uk37
1999.125	-0.64
1985.375	-0.637
1971.525	-0.614
1957.575	-0.627
1943.15	-0.633
1928.25	-0.616
1913.525	-0.617
1898.975	-0.585
1884.175	-0.62
1854.075	-0.651
1839.025	-0.644
1824.3	-0.637
1809.9	-0.634
1795.5	-0.637
1781.1	-0.673
1766.425	-0.648
1751.475	-0.629
1736.65	-0.6
1721.95	-0.634
1707.05	-0.597
1691.95	-0.645
1684.4	-0.661
1676.75	-0.644
1661.45	-0.646
1646.575	-0.642
1639.35	-0.64
1632.125	-0.615
1617.55	-0.628
1602.85	-0.63
1587.975	-0.637
1572.925	-0.599
1557.975	-0.624
1543.125	-0.581
1528.2	-0.625
1513.2	-0.637
1498.175	-0.633
1483.125	-0.618
1460.775	-0.628
1431.125	-0.632
1401.225	-0.645
1371.075	-0.683
1311.775	-0.68
1267.55	-0.694
1223.325	-0.622
1134.975	-0.591
1046.725	-0.618
987.45	-0.629
957.15	-0.653
926.825	-0.651
896.475	-0.666
867.8	-0.674
840.8	-0.648
813.825	-0.659
786.875	-0.65
761.375	-0.646
737.325	-0.635
713.6	-0.668
690.2	-0.679
660.525	-0.669
624.575	-0.671
589.075	-0.657
554.025	-0.641
515.425	-0.601
473.275	-0.658
391.15	-0.658
349.65	-0.623
307.35	-0.6
265.275	-0.557
223.425	-0.566
181.225	-0.637
138.675	-0.667
96.325	-0.689
10.5	-0.656
-34.7	-0.657
-79.825	-0.64
-169.725	-0.605
-214.375	-0.622
-258.675	-0.639
-302.625	-0.584
-346.4	-0.58
-390.0	-0.628
-477.425	-0.659
-564.925	-0.594
-651.9	-0.629
-738.4	-0.632
-824.65	-0.627
-910.7	-0.607
-954.1	-0.634
-997.9	-0.591
