# PAGES2kv2_Ocean2kHR-AtlanticBahamasSaenger2009LMR578 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Ocean2kHR-AtlanticBahamasSaenger2009LMR578 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Saenger
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Saenger
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 10.1038/NGEO55210.1002/2014PA002717
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Gingerbreads Bahamas
#	Location: 
#	Country: 
#	Northernmost_Latitude: 25.84
#	Southernmost_Latitude: 25.84
#	Easternmost_Longitude: -78.62
#	Westernmost_Longitude: -78.62
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Ocean2kHR-AtlanticBahamasSaenger2009LMR578
#	Earliest_Year: 1552
#	Most_Recent_Year: 1991
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"sea_surface", "interpDirection":"negative", "seasonality":"[-9, -10, -11, -12, 1, 2, 3, 4, 5, 6, 7, 8]"}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##ext	extension rate, , , cm/yr, "[-9, -10, -11, -12, 1, 2, 3, 4, 5, 6, 7, 8]", Corals and Sclerosponges, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	ext
1991	0.166
1990	0.173
1989	0.176
1988	0.125
1987	0.167
1986	0.176
1985	0.172
1984	0.196
1983	0.141
1982	0.172
1981	0.133
1980	0.145
1979	0.199
1978	0.129
1977	0.157
1976	0.172
1975	0.153
1974	0.142
1973	0.146
1972	0.125
1971	0.152
1970	0.141
1969	0.118
1968	0.141
1967	0.172
1966	0.177
1965	0.18
1964	0.137
1963	0.106
1962	0.149
1961	0.153
1960	0.153
1959	0.145
1958	0.141
1957	0.149
1956	0.141
1955	0.168
1954	0.159
1953	0.146
1952	0.138
1951	0.141
1950	0.124
1949	0.144
1948	0.151
1947	0.184
1946	0.192
1945	0.169
1944	0.151
1943	0.131
1942	0.119
1941	0.137
1940	0.209
1939	0.223
1938	0.192
1937	0.192
1936	0.156
1935	0.165
1934	0.168
1933	0.204
1932	0.211
1931	0.211
1930	0.176
1929	0.187
1928	0.183
1927	0.209
1926	0.172
1925	0.188
1924	0.173
1923	0.188
1922	0.211
1921	0.204
1920	0.2
1919	0.172
1918	0.209
1917	0.247
1916	0.232
1915	0.204
1914	0.194
1913	0.205
1912	0.179
1911	0.203
1910	0.245
1909	0.234
1908	0.169
1907	0.2
1906	0.181
1905	0.138
1904	0.191
1903	0.141
1902	0.151
1901	0.172
1900	0.194
1899	0.204
1898	0.18
1897	0.188
1896	0.161
1895	0.16
1894	0.2
1893	0.211
1892	0.161
1891	0.153
1890	0.176
1889	0.22
1888	0.153
1887	0.16
1886	0.188
1885	0.149
1884	0.157
1883	0.177
1882	0.13
1881	0.151
1880	0.141
1879	0.172
1878	0.125
1877	0.188
1876	0.188
1875	0.187
1874	0.186
1873	0.165
1872	0.141
1871	0.193
1870	0.165
1869	0.18
1868	0.141
1867	0.187
1866	0.157
1865	0.157
1864	0.211
1863	0.212
1862	0.227
1861	0.189
1860	0.195
1859	0.18
1858	0.211
1857	0.22
1856	0.181
1855	0.163
1854	0.164
1853	0.166
1852	0.17
1851	0.176
1850	0.254
1849	0.294
1848	0.249
1847	0.287
1846	0.253
1845	0.274
1844	0.246
1843	0.227
1842	0.196
1841	0.194
1840	0.194
1839	0.214
1838	0.199
1837	0.219
1836	0.225
1835	0.207
1834	0.189
1833	0.288
1832	0.264
1831	0.319
1830	0.306
1829	0.244
1828	0.24
1827	0.156
1826	0.254
1825	0.196
1824	0.15
1823	0.15
1822	0.234
1821	0.196
1820	0.195
1819	0.169
1818	0.313
1817	0.267
1816	0.202
1815	0.157
1814	0.286
1813	0.252
1812	0.19
1811	0.156
1810	0.177
1809	0.244
1808	0.23
1807	0.244
