# PAGES2kv2_NAm-GreenLakeLMR362 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Lake Cores
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_NAm-GreenLakeLMR362 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Schiefer, Erik,Menounos, Brian,Slaymaker, Olav
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Schiefer, Erik,Menounos, Brian,Slaymaker, Olav
#	Published_Date_or_Year: 
#	Published_Title: Extreme sediment delivery events recorded in the contemporary sediment record of a montane lake, southern Coast Mountains, British Columbia
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 10.1139/e06-056
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Green Lake
#	Location: 
#	Country: 
#	Northernmost_Latitude: 50.2
#	Southernmost_Latitude: 50.2
#	Easternmost_Longitude: -122.9
#	Westernmost_Longitude: -122.9
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_NAm-GreenLakeLMR362
#	Earliest_Year: 1388
#	Most_Recent_Year: 1999
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##varve	natural log of varve thickness, , , , "[6, 7, 8]", Lake Cores, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	varve
1999	1.5529
1998	2.2592
1997	1.8946
1996	1.4231
1995	0.89609
1994	0.98395
1993	1.4171
1992	1.8641
1991	3.0819
1990	1.4351
1989	0.92954
1988	0.70968
1987	0.95551
1986	1.411
1985	0.75377
1984	2.5611
1983	0.92624
1982	1.2599
1981	1.6227
1980	1.8312
1979	1.1812
1978	1.1124
1977	1.0818
1976	1.3863
1975	1.5644
1974	1.1249
1973	1.1506
1972	1.2267
1971	1.1184
1970	1.3455
1969	1.805
1968	1.8749
1967	1.6974
1966	0.76081
1965	0.82855
1964	1.0647
1963	1.5129
1962	0.80648
1961	1.3762
1960	1.2865
1959	1.0585
1958	2.0757
1957	1.9021
1956	1.6653
1955	1.38
1954	0.81978
1953	1.0403
1952	1.0473
1951	0.94391
1950	1.5497
1949	0.78846
1948	1.4331
1947	1.2335
1946	1.1961
1945	1.5656
1944	1.9274
1943	1.3198
1942	1.9408
1941	1.6569
1940	3.0993
1939	1.7941
1938	2.5079
1937	2.0026
1936	1.9339
1935	1.0902
1934	2.2389
1933	1.1474
1932	1.4251
1931	1.6503
1930	1.3429
1929	1.1474
1928	1.2613
1927	1.6273
1926	1.5195
1925	1.1889
1924	1.361
1923	1.3394
1922	0.98706
1921	1.0818
1920	0.88926
1919	1.0818
1918	1.1097
1917	0.89609
1916	1.0176
1915	1.0589
1914	0.55005
1913	0.50078
1912	0.50078
1911	0.56909
1910	0.73397
1909	0.50078
1908	1.4311
1907	0.50078
1906	2.1445
1905	0.73397
1904	0.84013
1903	0.49062
1902	0.42744
1901	0.48037
1900	0.34831
1899	1.8946
1898	0.64185
1897	1.335
1896	0.81093
1895	0.50078
1894	0.61519
1893	0.50078
1892	0.43825
1891	0.60158
1890	0.47
1889	0.60158
1888	0.87547
1887	0.11778
1886	0.16127
1885	0.74194
1884	1.0733
1883	0.72996
1882	0.45426
1881	1.0025
1880	0.26236
1879	0.40547
1878	0.26236
1877	0.20294
1876	0.51581
1875	0.11778
1874	0.16127
1873	0.64185
1872	0.31845
1871	0.33647
1870	0.70557
1869	0.92624
1868	1.1474
1867	0.48551
1866	0.47
1865	0.20294
1864	1.2238
1863	1.2599
1862	0.69315
1861	0.94585
1860	0.3001
1859	0.11778
1858	1.1394
1857	0.96508
1856	0.64185
1855	0.35417
1854	0.31845
1853	0.76547
1852	0.53063
1851	0.024693
1850	1.0207
1849	0.92624
1848	0.83291
1847	0.42199
1846	0.72996
1845	0.13976
1844	0.072321
1843	0.82198
1842	-0.16252
