# PAGES2kv2_Aus-Duckhole_Saunders_2013LMR330 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Lake Cores
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Aus-Duckhole_Saunders_2013LMR330 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Saunders, KM; Grosjean, M; Hodgson, DA
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Saunders, KM; Grosjean, M; Hodgson, DA
#	Published_Date_or_Year: 
#	Published_Title: A 950 yr temperature reconstruction from Duckhole Lake, southern Tasmania, Australia
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Duckhole Lake
#	Location: 
#	Country: 
#	Northernmost_Latitude: -43.3646
#	Southernmost_Latitude: -43.3646
#	Easternmost_Longitude: 146.8749
#	Westernmost_Longitude: 146.8749
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Aus-Duckhole_Saunders_2013LMR330
#	Earliest_Year: 1140.3536
#	Most_Recent_Year: 2001.3208
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"Correlation with Instrumental records 1911-2000", "climateVariable":"T", "climateVariableDetail":"surface", "interpDirection":"positive", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##Cl_cont	chlorine content based on relative absorption band depth from 660 to 670 nm, , , , , Lake Cores, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	Cl_cont
2001.3208	0.17358
1998.1251	0.15316
1995.3827	0.16733
1993.1741	0.177
1991.4116	0.17133
1989.988	0.1613
1988.7962	0.1407
1987.7291	0.15524
1986.6796	0.15154
1985.5405	0.14654
1984.215	0.14731
1982.695	0.15658
1981.0181	0.15849
1979.2224	0.15815
1977.3459	0.15843
1975.4267	0.1591
1973.5028	0.16032
1971.6121	0.1544
1969.7894	0.14936
1968.0626	0.14833
1966.4589	0.14725
1965.0056	0.14688
1963.7297	0.14995
1962.6327	0.14947
1961.6662	0.14864
1960.7765	0.14648
1959.9094	0.14505
1959.0115	0.1464
1958.0576	0.14552
1957.0786	0.13842
1956.1119	0.13495
1955.1946	0.13272
1954.3638	0.12997
1953.6365	0.1332
1952.9904	0.13194
1952.3989	0.13359
1951.8351	0.13052
1951.2725	0.13143
1950.6932	0.13244
1950.097	0.13616
1949.4854	0.13137
1948.8601	0.13436
1948.2227	0.1296
1947.5749	0.12984
1946.9181	0.12518
1946.2541	0.12482
1945.5845	0.12606
1944.911	0.13135
1944.2345	0.12869
1943.5551	0.122
1942.8729	0.12299
1942.1876	0.13767
1941.4994	0.14151
1940.808	0.14536
1940.1135	0.13329
1939.4157	0.1464
1938.7146	0.14965
1938.0102	0.14782
1937.3024	0.14759
1936.5911	0.14268
1935.8762	0.13651
1935.1578	0.13186
1934.4356	0.13566
1933.7098	0.12469
1932.9801	0.13062
1932.2466	0.13537
1931.5091	0.14088
1930.7677	0.14128
1930.0222	0.14581
1929.2727	0.1436
1928.5189	0.14077
1927.7609	0.13981
1926.9986	0.14786
1926.2319	0.15312
1925.4608	0.15697
1924.6853	0.16017
1923.9051	0.15788
1923.1204	0.15752
1922.3309	0.1608
1921.5368	0.17275
1920.7378	0.16089
1919.934	0.16595
1919.1252	0.16762
1918.3114	0.17466
1917.4926	0.16913
1916.6686	0.18358
1915.8395	0.18186
1915.0051	0.17874
1914.1654	0.17713
1913.3204	0.17279
1912.4699	0.16359
1911.6139	0.18376
1910.7523	0.18054
1909.8851	0.18385
1909.0123	0.17727
1908.1336	0.17591
1907.2492	0.17198
1906.3589	0.16732
1905.4626	0.16747
1904.5604	0.16758
1903.6521	0.16336
1902.7376	0.1611
1901.817	0.16358
1900.8901	0.16679
1899.9568	0.17016
1899.0172	0.17649
1898.0712	0.16125
1897.1186	0.16223
1896.1595	0.16396
1895.1938	0.16878
1894.2213	0.1689
1893.2421	0.16751
1892.256	0.16769
1891.2631	0.15727
1890.2632	0.16235
1889.2564	0.15721
1888.2424	0.12058
1887.2213	0.116
