# PAGES2kv2_Ant-Vostok_Ekaykin_2014LMR32 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Ant-Vostok_Ekaykin_2014LMR32 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Ekaykin, A.A.,Kozachek, A.V.,Lipenkov, V. Ya.,Shibaev, Yu. A.
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Ekaykin, A.A.,Kozachek, A.V.,Lipenkov, V. Ya.,Shibaev, Yu. A.
#	Published_Date_or_Year: 
#	Published_Title: Multiple climate shifts in the Southern Hemisphere over the past three centuries based on central Antarctic snow pits and core studies
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 10.3189/201AoG66A189
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Vostok
#	Location: 
#	Country: 
#	Northernmost_Latitude: -78.2785
#	Southernmost_Latitude: -78.2785
#	Easternmost_Longitude: 104.8005
#	Westernmost_Longitude: 104.8005
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Ant-Vostok_Ekaykin_2014LMR32
#	Earliest_Year: 1730
#	Most_Recent_Year: 2009
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##dD	deuterium isotope ratio, , , permil, "[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]", Ice Cores, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	dD
2010	-438.357123448
2009	-414.801069502
2008	-446.929061347
2007	-453.442961064
2006	-430.179014809
2005	-436.278303763
2004	-437.706791587
2003	-432.443597986
2002	-430.566131051
2001	-455.488965045
2000	-439.933414748
1999	-423.965618418
1998	-430.809627482
1997	-434.135477998
1996	-440.259135223
1995	-439.897884012
1994	-440.310721098
1993	-441.820423849
1992	-433.800521728
1991	-431.367570103
1990	-434.066746483
1989	-433.97581983
1988	-440.167271439
1987	-446.274953026
1986	-437.761812319
1985	-431.85789113
1984	-432.715341882
1983	-437.619513905
1982	-438.00788649
1981	-442.171769534
1980	-441.651172818
1979	-444.862959696
1978	-440.613964096
1977	-440.170277153
1976	-429.256963516
1975	-434.064809432
1974	-436.185973717
1973	-435.211233278
1972	-430.160033777
1971	-431.211944932
1970	-433.521546334
1969	-438.668562936
1968	-444.085214819
1967	-444.413242102
1966	-441.087766795
1965	-444.428432203
1964	-446.113376436
1963	-445.442568861
1962	-445.686328549
1961	-447.767588519
1960	-440.310669232
1959	-445.000386522
1958	-446.784970372
1957	-445.236838253
1956	-451.509575815
1955	-450.386440115
1954	-453.053974473
1953	-445.73330122
1952	-443.042519844
1951	-442.108615259
1950	-437.135096773
1949	-434.765516857
1948	-436.258999094
1947	-435.527218755
1946	-437.788017896
1945	-434.568841053
1944	-428.041869336
1943	-434.203769847
1942	-437.485001396
1941	-425.884103514
1940	-430.11320496
1939	-429.64634626
1938	-433.871260036
1937	-441.576697097
1936	-444.0165114
1935	-449.594247034
1934	-448.083939834
1933	-442.600961686
1932	-441.452344929
1931	-432.197833909
1930	-431.07613506
1929	-427.988138079
1928	-427.43648232
1927	-433.814186823
1926	-438.318283183
1925	-442.54491192
1924	-444.142871503
1923	-443.351472792
1922	-443.271091153
1921	-443.051668604
1920	-440.951016288
1919	-434.629275887
1918	-438.15860177
1917	-438.181148698
1916	-437.727525225
1915	-434.242250875
1914	-430.097834105
1913	-427.414986759
1912	-434.870726659
1911	-438.255809449
1910	-440.570470752
1909	-441.469552144
1908	-446.177305464
1907	-448.6240271
1906	-450.567145591
1905	-455.241643285
1904	-456.5511031
1903	-449.945841072
1902	-451.781489867
1901	-449.4005538
1900	-448.261152007
1899	-448.958026313
1898	-448.066831814
1897	-446.680676902
1896	-447.747840822
1895	-444.09292567
1894	-442.20212398
1893	-440.931175069
1892	-440.275319776
1891	-437.381966193
1890	-435.855515728
1889	-439.192737619
1888	-441.243954069
1887	-436.289575378
1886	-441.444371305
1885	-438.521372312
1884	-437.969652333
1883	-435.189400142
1882	-431.689579297
1881	-435.58986894
1880	-442.235092533
1879	-439.243175784
1878	-443.058656538
1877	-442.657255465
1876	-440.672965008
1875	-444.728432952
1874	-441.140521351
1873	-445.243269089
1872	-441.09529446
1871	-439.200291748
1870	-443.720756962
1869	-442.082992596
1868	-445.822723543
1867	-446.897017252
1866	-446.466473277
1865	-444.936551912
1864	-440.289532272
1863	-437.522106732
1862	-436.158144786
1861	-441.490997355
1860	-440.793140012
1859	-444.174284808
1858	-446.339692565
1857	-446.234703183
1856	-453.633222854
1855	-447.060707072
1854	-448.626370939
1853	-444.011580642
1852	-446.332461185
1851	-447.766567817
1850	-448.383988092
1849	-449.45122805
1848	-449.272025007
1847	-448.071955357
1846	-443.405726837
1845	-442.323536219
1844	-447.021666243
1843	-449.432165975
1842	-451.490703802
1841	-450.151586467
1840	-453.306862589
1839	-451.138768104
1838	-453.755417129
1837	-450.661938581
1836	-446.117357888
1835	-443.515285051
1834	-439.04358219
1833	-437.235839412
1832	-439.128167702
1831	-437.379052274
1830	-437.910771465
1829	-438.729458701
1828	-437.770446854
1827	-444.952366192
1826	-446.036857015
1825	-443.524194027
1824	-446.270158664
1823	-442.834320283
1822	-441.246551235
1821	-439.843641935
1820	-446.083342466
1819	-450.924920073
1818	-447.844938091
1817	-444.280582672
1816	-443.538330082
1815	-446.731199806
1814	-441.265628546
1813	-446.239520288
1812	-450.714686645
1811	-451.005029338
1810	-452.063315862
1809	-450.101780594
1808	-449.432480706
1807	-449.589899766
1806	-451.529856051
1805	-453.839811089
1804	-451.857783437
1803	-449.873496841
1802	-450.166396828
1801	-454.742812534
1800	-447.724633835
1799	-444.359654343
1798	-445.356798025
1797	-447.33631742
1796	-444.759434984
1795	-443.525739964
1794	-441.662004166
1793	-441.453231559
1792	-440.684480205
1791	-440.991475396
1790	-441.044722986
1789	-439.887231902
1788	-437.140832306
1787	-438.107164977
1786	-435.772127742
1785	-443.084977193
1784	-440.649568663
1783	-440.008823413
1782	-442.564771617
1781	-443.375150293
1780	-443.065575884
1779	-445.530697663
1778	-445.75417227
1777	-449.983021574
